Prev_LAT,Prev_LON,Prev_WIND,Prev_PRES
7.81493,64.695,15.0,1006.0
7.6,64.2,15.0,1006.0
7.36494,63.6375,15.0,1006.0
7.1,63.0,15.0,1006.0
6.78508,62.2849,17.0,1005.0
6.5,61.6,20.0,1004.0
6.34994,61.1321,22.0,1003.0
6.30029,60.6329,25.0,1002.0
6.28309,60.1537,27.0,1001.0
6.3,59.75,30.0,1000.0
6.32112,59.4701,37.0,995.0
6.35,59.2,45.0,991.0
6.35384,58.7659,50.0,987.0
6.35,58.4,55.0,984.0
6.35374,58.25,57.0,982.0
6.35,58.1,60.0,980.0
6.17499,57.8,62.0,978.0
6.05,57.55,65.0,976.0
6.05373,57.1575,67.0,974.0
6.05,57.0,70.0,972.0
6.00752,56.7962,72.0,969.0
5.95,56.35,75.0,967.0
5.87283,56.1729,77.0,965.0
5.63333,55.6333,80.0,963.0
5.682,55.354,72.0,969.0
5.8,55.2,65.0,976.0
5.85,54.9775,57.0,981.0
5.9,54.8,50.0,987.0
5.95749,54.685,45.0,990.0
6.0,54.6,40.0,994.0
6.00749,54.5075,35.0,997.0
6.0,54.4,30.0,1000.0
6.0,54.2575,30.0,1000.0
6.0,54.1,30.0,1000.0
6.0075,53.95,30.0,1000.0
6.0,53.8,30.0,1000.0
5.9575,53.65,30.0,1000.0
5.9,53.5,30.0,1000.0
5.85749,53.3575,30.0,1000.0
5.8,53.2,30.0,1000.0
5.73749,53.015,30.0,1000.0
5.6,52.8,30.0,1000.0
5.32999,52.565,30.0,1000.0
5.0,52.3,30.0,1000.0
4.70752,51.9775,30.0,1000.0
4.4,51.7,30.0,1000.0
4.04248,51.555,30.0,1000.0
3.7,51.5,30.0,1000.0
3.435,51.4775,30.0,1000.0
3.2,51.5,30.0,1000.0
2.9275,51.535,30.0,1000.0
2.7,51.6,30.0,1000.0
2.57,51.6925,27.0,1001.0
2.5,51.8,25.0,1002.0
2.4475,51.9025,25.0,1002.0
4.5,91.7,25.0,1002.0
4.74508,91.1926,25.0,1002.0
4.875,90.65,25.0,1002.0
5.09373,90.2312,25.0,1002.0
5.33038,89.8606,25.0,1002.0
5.61495,89.4938,25.0,1002.0
5.99462,89.1678,25.0,1002.0
6.43997,88.9524,25.0,1002.0
6.89491,88.7711,25.0,1002.0
7.28142,88.5551,25.0,1002.0
7.6,88.35,25.0,1002.0
7.85863,88.1883,27.0,1001.0
8.07306,88.0558,30.0,1000.0
8.26567,87.9584,30.0,1000.0
8.44388,87.8424,30.0,1000.0
8.61374,87.6687,30.0,1000.0
8.74807,87.399,30.0,1000.0
8.93082,87.1048,32.0,998.0
9.2,86.85,35.0,997.0
9.54247,86.6924,35.0,997.0
9.65,86.55,35.0,997.0
10.06,86.1575,35.0,997.0
10.25,85.75,35.0,997.0
10.7038,85.0538,40.0,994.0
10.9,84.85,45.0,991.0
11.2925,84.4249,45.0,991.0
11.7,83.75,45.0,991.0
12.1812,83.3074,45.0,991.0
12.6,82.85,45.0,991.0
13.1675,82.4787,47.0,989.0
13.65,82.0,50.0,987.0
14.0576,81.6526,52.0,985.0
14.5,81.45,55.0,984.0
15.0824,81.0911,55.0,984.0
15.55,81.05,55.0,984.0
15.9425,81.0312,52.0,985.0
16.3,81.05,50.0,987.0
16.8362,81.0887,42.0,992.0
17.3,81.1286,35.0,997.0
17.3642,81.1483,32.0,998.0
11.1,74.3,20.0,1004.0
11.14,74.09,22.0,1003.0
